Manufacturer,Category,Segment,Product,ProductID,isVanArsdel,IsCompeteHide,ManufacturerID,IsCompete
"VanArsdel","Urban","Convenience","Maximus UC-01",536,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-02",537,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-03",538,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-04",539,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-05",540,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-06",541,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-07",542,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-08",543,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-09",544,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-10",545,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-11",546,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-12",547,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-13",548,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-14",549,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-15",550,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-16",551,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-17",552,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-18",553,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-19",554,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-20",555,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-21",556,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-22",557,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-23",558,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-24",559,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-25",560,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-26",561,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-27",562,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-28",563,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-29",564,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-30",565,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-31",566,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-32",567,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-33",568,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-34",569,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-35",570,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-36",571,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-37",572,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-38",573,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-39",574,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-40",575,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-41",576,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-42",577,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-43",578,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-44",579,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-45",580,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-46",581,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-47",582,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-48",583,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-49",584,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-50",585,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-51",586,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-52",587,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-53",588,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-54",589,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-55",590,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-56",591,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-57",592,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-58",593,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-59",594,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-60",595,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-61",596,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-62",597,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-63",598,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-64",599,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-65",600,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-66",601,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-67",602,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-68",603,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-69",604,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-70",605,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-71",606,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-72",607,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-73",608,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-74",609,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-75",610,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-76",611,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-77",612,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-78",613,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-79",614,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-80",615,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-81",616,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-82",617,"Yes","N",7,"No"
"VanArsdel","Urban","Convenience","Maximus UC-83",618,"Yes","N",7,"No"
